,train,val,test
0,normal_037,normal_122,normal_058
1,normal_030,test_101,patient_098_node_3
2,normal_021,patient_075_node_0,patient_074_node_3
3,normal_018,patient_042_node_1,patient_077_node_3
4,normal_064,normal_154,patient_055_node_2
5,normal_135,patient_048_node_3,patient_091_node_0
6,normal_048,patient_086_node_3,patient_000_node_4
7,normal_029,patient_022_node_3,normal_109
8,normal_066,patient_035_node_1,normal_043
9,normal_139,patient_011_node_4,test_009
10,normal_052,patient_011_node_1,patient_053_node_3
11,normal_062,test_041,patient_047_node_0
12,normal_031,test_024,patient_016_node_3
13,normal_014,normal_083,patient_071_node_2
14,normal_097,normal_094,normal_151
15,normal_119,patient_053_node_0,patient_082_node_4
16,normal_085,normal_009,patient_009_node_4
17,normal_073,patient_002_node_4,test_118
18,normal_026,patient_089_node_4,patient_012_node_3
19,normal_056,normal_128,patient_004_node_1
20,normal_013,normal_015,test_012
21,normal_075,patient_001_node_3,patient_059_node_0
22,normal_152,patient_010_node_3,patient_032_node_4
23,normal_001,patient_071_node_1,patient_098_node_4
24,normal_121,patient_025_node_3,patient_095_node_4
25,normal_125,patient_083_node_4,patient_024_node_3
26,normal_011,normal_141,patient_050_node_2
27,normal_044,test_128,patient_016_node_4
28,normal_060,patient_090_node_4,patient_056_node_2
29,normal_126,normal_049,patient_048_node_2
30,normal_045,normal_034,patient_089_node_1
31,normal_116,patient_031_node_3,patient_057_node_3
32,normal_142,test_043,normal_025
33,normal_042,patient_038_node_3,patient_023_node_4
34,normal_071,patient_003_node_0,patient_025_node_1
35,normal_145,patient_082_node_0,normal_129
36,normal_137,patient_023_node_1,patient_032_node_0
37,normal_070,test_050,test_042
38,normal_101,patient_008_node_2,patient_058_node_0
39,normal_004,patient_006_node_0,patient_086_node_2
40,normal_089,patient_045_node_2,normal_140
41,normal_106,test_109,test_059
42,normal_100,patient_000_node_0,normal_057
43,normal_104,patient_088_node_2,normal_002
44,normal_102,patient_019_node_4,test_015
45,normal_082,normal_022,patient_090_node_1
46,normal_076,test_120,patient_085_node_3
47,normal_068,patient_023_node_0,patient_049_node_3
48,normal_107,normal_105,patient_051_node_3
49,normal_134,patient_054_node_4,patient_009_node_2
50,normal_138,test_096,test_007
