,train,val,test
0,normal_037,patient_032_node_0,normal_063
1,normal_030,normal_091,normal_135
2,normal_021,patient_066_node_4,normal_089
3,normal_018,normal_108,patient_040_node_0
4,normal_029,patient_009_node_3,patient_031_node_0
5,normal_139,test_042,patient_071_node_0
6,normal_052,patient_098_node_4,normal_155
7,normal_014,normal_111,test_005
8,normal_097,normal_064,normal_156
9,normal_034,test_128,test_020
10,normal_119,patient_074_node_0,test_115
11,normal_085,test_072,normal_070
12,normal_073,test_044,test_124
13,normal_056,patient_046_node_0,patient_089_node_4
14,normal_013,patient_075_node_3,patient_016_node_3
15,normal_075,normal_109,patient_040_node_4
16,normal_152,normal_017,normal_098
17,normal_122,patient_066_node_0,normal_038
18,normal_001,patient_049_node_3,patient_012_node_1
19,normal_022,normal_044,patient_011_node_4
20,normal_121,normal_048,patient_007_node_0
21,normal_125,patient_060_node_1,patient_046_node_1
22,normal_011,patient_047_node_4,patient_070_node_2
23,normal_060,patient_037_node_0,patient_005_node_1
24,normal_126,patient_071_node_2,test_063
25,normal_045,patient_057_node_0,patient_085_node_4
26,normal_142,test_126,normal_116
27,normal_042,normal_059,patient_015_node_3
28,normal_071,patient_083_node_2,patient_060_node_2
29,normal_145,patient_047_node_3,patient_030_node_2
30,normal_137,patient_090_node_0,patient_076_node_0
31,normal_101,normal_026,test_012
32,normal_009,patient_064_node_2,normal_077
33,normal_004,normal_141,patient_056_node_2
34,normal_106,normal_154,normal_003
35,normal_100,patient_002_node_0,normal_047
36,normal_104,normal_128,test_088
37,normal_102,patient_039_node_3,normal_039
38,normal_082,patient_098_node_3,test_103
39,normal_076,patient_055_node_0,patient_032_node_3
40,normal_068,patient_017_node_0,test_111
41,normal_134,normal_127,normal_107
42,normal_138,patient_093_node_3,normal_066
43,normal_019,patient_023_node_3,patient_041_node_2
44,normal_036,patient_042_node_2,test_028
45,normal_159,patient_067_node_1,test_023
46,normal_032,patient_031_node_3,patient_081_node_3
47,normal_084,normal_031,normal_062
48,normal_088,patient_068_node_0,patient_056_node_4
49,normal_105,patient_011_node_2,patient_007_node_2
50,normal_006,patient_033_node_0,normal_094
51,normal_143,patient_095_node_4,patient_064_node_4
52,normal_158,normal_087,test_057
53,normal_002,normal_054,normal_027
54,normal_136,test_080,patient_094_node_3
55,normal_065,patient_068_node_2,test_060
56,normal_012,test_071,tumor_057
57,normal_144,test_082,patient_021_node_0
58,normal_079,test_008,patient_062_node_0
59,normal_110,tumor_054,patient_038_node_4
60,normal_005,tumor_047,tumor_083
61,normal_130,patient_017_node_4,patient_042_node_3
62,normal_095,patient_016_node_0,tumor_093
63,normal_040,tumor_086,patient_049_node_1
64,normal_020,patient_086_node_0,tumor_099
65,normal_061,tumor_027,patient_028_node_0
66,normal_112,tumor_044,patient_063_node_0
67,normal_033,test_114,tumor_106
68,normal_151,patient_095_node_0,tumor_103
69,normal_049,patient_097_node_1,test_094
70,normal_025,tumor_089,patient_063_node_4
71,normal_080,tumor_082,tumor_081
72,normal_051,tumor_016,tumor_028
73,normal_072,patient_074_node_4,patient_021_node_1
74,normal_113,patient_010_node_0,tumor_090
75,normal_124,patient_096_node_3,tumor_020
