,train,val,test
0,normal_037,test_019,test_112
1,normal_030,patient_034_node_2,patient_001_node_4
2,normal_021,patient_041_node_4,test_130
3,normal_018,normal_039,patient_059_node_2
4,normal_064,normal_098,normal_095
5,normal_135,patient_036_node_1,patient_016_node_2
6,normal_029,patient_032_node_2,patient_067_node_1
7,normal_066,patient_019_node_4,patient_008_node_2
8,normal_139,patient_001_node_1,normal_128
9,normal_052,patient_073_node_4,patient_078_node_1
10,normal_062,patient_062_node_4,normal_072
11,normal_031,patient_038_node_3,normal_048
12,normal_034,patient_089_node_4,normal_130
13,normal_119,patient_055_node_2,patient_016_node_3
14,normal_085,normal_150,normal_014
15,normal_073,test_055,patient_030_node_1
16,normal_026,normal_083,patient_042_node_2
17,normal_056,patient_011_node_1,patient_050_node_3
18,normal_013,patient_034_node_0,patient_079_node_4
19,normal_075,patient_007_node_0,patient_046_node_1
20,normal_152,normal_042,patient_002_node_0
21,normal_122,normal_146,patient_032_node_4
22,normal_001,normal_131,test_062
23,normal_022,patient_079_node_1,patient_053_node_3
24,normal_121,normal_141,patient_042_node_1
25,normal_125,patient_069_node_4,patient_085_node_0
26,normal_011,patient_025_node_4,patient_050_node_0
27,normal_044,patient_033_node_0,normal_074
28,normal_060,normal_046,test_096
29,normal_126,patient_059_node_3,normal_059
30,normal_094,patient_050_node_2,patient_089_node_0
31,normal_045,patient_079_node_0,normal_149
32,normal_142,patient_083_node_2,patient_004_node_0
33,normal_071,test_028,patient_017_node_0
34,normal_145,normal_110,patient_034_node_1
35,normal_137,test_041,patient_057_node_0
36,normal_070,patient_047_node_3,patient_009_node_3
37,normal_101,normal_153,normal_138
38,normal_009,normal_116,patient_070_node_1
39,normal_004,patient_014_node_0,normal_089
40,normal_106,test_078,patient_035_node_2
41,normal_100,patient_002_node_2,patient_023_node_0
42,normal_104,test_018,patient_055_node_1
43,normal_102,patient_083_node_4,normal_097
44,normal_082,patient_044_node_2,normal_012
45,normal_076,patient_082_node_0,patient_021_node_2
46,normal_068,patient_031_node_2,normal_016
47,normal_134,patient_031_node_1,patient_036_node_2
48,normal_019,normal_107,normal_015
49,normal_036,patient_075_node_3,patient_075_node_0
50,normal_159,patient_008_node_4,patient_093_node_2
51,normal_077,normal_027,patient_016_node_4
52,normal_032,test_009,test_015
53,normal_084,patient_040_node_0,patient_071_node_3
54,normal_088,patient_024_node_0,normal_129
55,normal_105,normal_140,patient_065_node_3
56,normal_006,tumor_080,patient_014_node_3
57,normal_143,tumor_067,patient_046_node_4
58,normal_158,tumor_011,patient_072_node_2
59,normal_002,test_066,patient_092_node_3
60,normal_136,tumor_099,patient_045_node_1
61,normal_065,patient_006_node_4,patient_093_node_4
62,normal_144,tumor_061,patient_076_node_1
63,normal_079,test_075,tumor_065
64,normal_005,tumor_038,tumor_064
65,normal_040,test_010,patient_015_node_2
66,normal_020,patient_026_node_1,tumor_045
67,normal_155,tumor_059,test_110
68,normal_061,patient_052_node_2,patient_094_node_2
69,normal_112,patient_013_node_2,patient_077_node_2
70,normal_033,patient_061_node_4,tumor_051
71,normal_151,tumor_087,patient_042_node_3
72,normal_127,patient_018_node_3,tumor_004
73,normal_049,patient_089_node_3,tumor_044
74,normal_025,test_104,patient_017_node_1
75,normal_080,patient_084_node_3,patient_004_node_4
76,normal_051,patient_064_node_3,test_094
77,normal_113,patient_013_node_4,tumor_096
78,normal_124,patient_018_node_2,tumor_056
79,normal_057,tumor_082,tumor_012
80,normal_115,tumor_024,test_084
81,normal_028,patient_097_node_0,tumor_018
82,normal_063,tumor_098,patient_076_node_4
83,normal_091,tumor_025,patient_036_node_3
84,normal_103,patient_069_node_3,patient_068_node_1
85,normal_067,tumor_052,test_065
86,normal_092,patient_074_node_4,patient_019_node_1
87,normal_148,patient_080_node_3,tumor_053
88,normal_160,patient_088_node_4,tumor_014
89,normal_111,test_117,patient_064_node_0
90,normal_023,,
91,normal_043,,
92,normal_099,,
93,normal_055,,
94,normal_058,,
95,normal_053,,
96,test_003,,
97,test_005,,
98,test_006,,
99,test_007,,
100,test_012,,
101,test_014,,
102,test_017,,
103,test_020,,
104,test_022,,
105,test_023,,
106,test_024,,
107,test_025,,
108,normal_047,,
109,test_031,,
110,test_032,,
111,test_034,,
112,test_035,,
113,test_036,,
114,test_037,,
115,test_039,,
116,normal_093,,
117,test_042,,
118,test_043,,
119,test_044,,
120,test_045,,
121,test_047,,
122,test_050,,
123,normal_038,,
124,test_053,,
125,test_054,,
126,test_056,,
127,test_057,,
128,test_058,,
129,test_059,,
130,test_060,,
131,test_063,,
132,test_067,,
133,test_070,,
134,test_072,,
135,test_076,,
136,test_077,,
137,test_080,,
138,test_081,,
139,normal_087,,
140,test_083,,
141,test_085,,
142,test_086,,
143,test_087,,
144,test_088,,
145,test_089,,
146,test_091,,
147,test_093,,
148,test_095,,
149,test_098,,
150,test_100,,
151,test_101,,
152,normal_120,,
153,test_103,,
154,test_106,,
155,test_107,,
156,test_109,,
157,test_111,,
158,test_115,,
159,test_118,,
160,test_119,,
161,test_120,,
162,test_123,,
163,test_124,,
164,test_125,,
165,test_126,,
166,test_127,,
167,test_128,,
168,test_129,,
169,patient_000_node_0,,
170,normal_054,,
171,normal_117,,
172,patient_000_node_1,,
173,patient_000_node_2,,
174,patient_000_node_3,,
175,patient_000_node_4,,
176,patient_001_node_0,,
177,patient_001_node_2,,
178,patient_001_node_3,,
179,patient_002_node_1,,
180,patient_002_node_3,,
181,patient_002_node_4,,
182,patient_003_node_0,,
183,patient_003_node_1,,
184,patient_003_node_2,,
185,patient_003_node_3,,
186,patient_003_node_4,,
187,patient_004_node_1,,
188,patient_004_node_2,,
189,patient_004_node_3,,
190,patient_005_node_0,,
191,normal_069,,
192,patient_005_node_1,,
193,patient_005_node_2,,
194,patient_006_node_0,,
195,patient_006_node_1,,
196,patient_006_node_3,,
197,patient_007_node_1,,
198,patient_007_node_2,,
199,patient_007_node_3,,
200,patient_008_node_1,,
201,patient_008_node_3,,
202,patient_009_node_2,,
203,patient_009_node_4,,
204,normal_041,,
205,patient_010_node_1,,
206,patient_010_node_2,,
207,patient_010_node_3,,
208,patient_011_node_2,,
209,patient_011_node_3,,
210,patient_011_node_4,,
211,patient_012_node_1,,
212,patient_012_node_2,,
213,patient_012_node_3,,
214,patient_012_node_4,,
215,patient_013_node_0,,
216,patient_013_node_1,,
217,patient_014_node_1,,
218,patient_015_node_0,,
219,patient_015_node_3,,
220,normal_123,,
221,normal_109,,
222,patient_018_node_0,,
223,patient_020_node_0,,
224,patient_020_node_3,,
225,normal_108,,
226,patient_022_node_2,,
227,patient_022_node_3,,
228,patient_023_node_1,,
229,patient_023_node_2,,
