,train,val,test
0,normal_030,normal_079,normal_065
1,normal_021,normal_134,normal_150
2,normal_018,patient_086_node_1,normal_022
3,normal_064,normal_094,test_083
4,normal_135,patient_071_node_0,patient_098_node_4
5,normal_048,patient_081_node_0,normal_122
6,normal_029,patient_066_node_1,patient_079_node_0
7,normal_066,test_062,normal_127
8,normal_139,test_126,patient_042_node_1
9,normal_062,patient_075_node_0,patient_002_node_3
10,normal_031,patient_011_node_1,patient_054_node_3
11,normal_014,normal_008,patient_048_node_4
12,normal_034,patient_085_node_4,normal_038
13,normal_119,test_014,patient_049_node_3
14,normal_085,normal_091,patient_055_node_3
15,normal_073,patient_093_node_3,patient_084_node_1
16,normal_026,patient_070_node_2,patient_041_node_1
17,normal_056,patient_044_node_0,patient_042_node_4
18,normal_013,test_087,patient_070_node_1
19,normal_075,patient_098_node_3,normal_104
20,normal_152,normal_025,patient_060_node_4
21,normal_128,test_042,patient_035_node_0
22,normal_121,test_025,test_037
23,normal_125,patient_095_node_2,normal_138
24,normal_011,patient_054_node_2,normal_097
25,normal_044,patient_058_node_1,patient_095_node_3
26,normal_060,patient_055_node_0,normal_118
27,normal_045,normal_046,test_112
28,normal_116,patient_074_node_2,patient_043_node_1
29,normal_142,patient_071_node_3,normal_089
30,normal_042,patient_005_node_2,normal_001
31,normal_071,patient_077_node_3,patient_090_node_3
32,normal_137,test_091,patient_035_node_3
33,normal_070,test_005,patient_038_node_1
34,normal_101,test_047,patient_025_node_2
35,normal_009,test_028,patient_092_node_2
36,normal_004,normal_145,test_085
37,normal_106,patient_053_node_1,patient_000_node_2
38,normal_100,patient_033_node_4,test_017
39,normal_102,patient_057_node_4,patient_002_node_4
40,normal_082,normal_132,patient_051_node_3
41,normal_076,patient_043_node_2,normal_124
42,normal_107,patient_067_node_0,normal_096
43,normal_019,normal_052,patient_088_node_3
44,normal_036,patient_025_node_4,patient_036_node_4
45,normal_159,test_060,normal_093
46,normal_077,test_129,patient_040_node_1
47,normal_032,patient_039_node_2,normal_072
48,normal_084,normal_068,patient_011_node_4
49,normal_088,patient_034_node_1,test_125
50,normal_105,patient_023_node_2,patient_035_node_1
51,normal_141,patient_061_node_2,patient_098_node_2
52,normal_006,patient_036_node_2,patient_035_node_2
53,normal_143,normal_126,test_093
54,normal_158,test_095,normal_037
55,normal_002,patient_023_node_4,patient_090_node_0
56,normal_136,patient_052_node_2,tumor_039
57,normal_012,test_011,patient_026_node_4
58,normal_144,tumor_100,patient_016_node_0
59,normal_110,patient_038_node_0,test_030
60,normal_005,patient_063_node_2,patient_026_node_0
61,normal_130,patient_062_node_1,patient_020_node_2
62,normal_095,test_013,patient_051_node_4
63,normal_040,patient_094_node_2,patient_052_node_1
64,normal_020,patient_009_node_0,patient_092_node_1
65,normal_155,test_066,patient_022_node_0
66,normal_061,tumor_071,patient_046_node_3
67,normal_112,patient_014_node_4,patient_070_node_3
68,normal_033,patient_060_node_3,patient_046_node_4
69,normal_151,test_075,tumor_066
70,normal_049,test_114,patient_018_node_3
71,normal_080,patient_027_node_2,patient_038_node_2
72,normal_051,test_010,patient_064_node_0
