,train,val,test
0,normal_037,test_053,patient_085_node_0
1,normal_030,patient_043_node_4,normal_159
2,normal_021,patient_049_node_0,normal_129
3,normal_018,normal_039,patient_044_node_2
4,normal_064,patient_035_node_4,test_022
5,normal_135,patient_040_node_3,normal_116
6,normal_048,normal_024,test_091
7,normal_029,patient_039_node_4,normal_020
8,normal_139,patient_000_node_4,normal_097
9,normal_052,normal_125,patient_058_node_3
10,normal_062,normal_096,patient_012_node_1
11,normal_031,patient_030_node_2,patient_032_node_4
12,normal_014,patient_022_node_3,patient_089_node_1
13,normal_034,patient_047_node_4,test_007
14,normal_085,normal_094,normal_041
15,normal_073,test_109,patient_040_node_4
16,normal_026,patient_005_node_1,patient_032_node_2
17,normal_056,patient_055_node_3,patient_014_node_0
18,normal_013,normal_151,test_112
19,normal_075,patient_015_node_3,patient_023_node_1
20,normal_152,patient_059_node_3,patient_000_node_2
21,normal_122,normal_044,patient_085_node_4
22,normal_001,patient_095_node_1,patient_023_node_2
23,normal_022,patient_018_node_0,normal_110
24,normal_128,test_124,patient_055_node_4
25,normal_121,patient_050_node_0,patient_025_node_1
26,normal_011,patient_078_node_2,patient_083_node_1
27,normal_060,patient_001_node_0,patient_033_node_0
28,normal_126,normal_068,patient_013_node_0
29,normal_045,patient_095_node_2,patient_013_node_1
30,normal_142,patient_011_node_3,normal_036
31,normal_042,normal_138,patient_041_node_2
32,normal_071,test_063,patient_032_node_3
33,normal_145,normal_149,patient_049_node_4
34,normal_137,patient_065_node_1,test_072
35,normal_070,patient_002_node_4,patient_037_node_4
36,normal_101,patient_025_node_2,test_126
37,normal_004,test_044,normal_009
38,normal_089,test_024,normal_080
39,normal_106,patient_023_node_3,patient_098_node_0
40,normal_100,normal_119,patient_077_node_3
41,normal_104,patient_036_node_1,patient_029_node_4
42,normal_102,normal_019,patient_057_node_3
43,normal_082,normal_092,patient_046_node_1
44,normal_076,patient_001_node_1,test_057
45,normal_134,normal_078,patient_074_node_3
46,normal_077,patient_060_node_2,test_047
47,normal_032,patient_017_node_0,normal_067
48,normal_084,normal_066,patient_010_node_2
49,normal_088,test_009,test_006
50,normal_105,test_077,patient_089_node_0
51,normal_141,test_025,test_018
52,normal_006,patient_016_node_2,patient_032_node_0
53,normal_143,normal_107,patient_031_node_0
54,normal_158,patient_042_node_1,normal_153
55,normal_002,normal_057,patient_073_node_4
56,normal_136,tumor_050,patient_044_node_3
57,normal_065,tumor_078,tumor_072
58,normal_012,patient_092_node_4,patient_065_node_4
59,normal_144,test_065,tumor_032
