,train,val,test
0,normal_037,patient_016_node_4,test_088
1,normal_021,patient_079_node_3,normal_149
2,normal_018,patient_096_node_1,patient_012_node_3
3,normal_064,patient_085_node_4,patient_068_node_2
4,normal_135,normal_113,normal_054
5,normal_029,patient_035_node_1,patient_003_node_0
6,normal_066,patient_029_node_4,patient_078_node_3
7,normal_139,test_044,patient_049_node_0
8,normal_062,test_003,normal_145
9,normal_031,patient_036_node_0,normal_099
10,normal_014,test_081,patient_068_node_3
11,normal_119,patient_058_node_3,normal_048
12,normal_085,test_017,normal_132
13,normal_056,patient_009_node_3,normal_143
14,normal_013,test_070,normal_147
15,normal_075,test_059,patient_074_node_3
16,normal_152,patient_057_node_1,patient_091_node_1
17,normal_122,normal_077,patient_031_node_0
18,normal_001,normal_150,patient_077_node_0
19,normal_022,test_107,normal_103
20,normal_128,patient_067_node_2,patient_030_node_0
21,normal_121,patient_095_node_3,test_123
22,normal_125,patient_037_node_2,patient_082_node_2
23,normal_011,test_054,patient_054_node_1
24,normal_044,normal_097,patient_030_node_3
25,normal_060,test_115,patient_081_node_0
26,normal_126,test_130,patient_079_node_1
27,normal_094,patient_036_node_2,patient_053_node_3
28,normal_045,normal_065,patient_033_node_4
29,normal_116,test_028,normal_025
30,normal_142,normal_052,normal_003
31,normal_042,normal_159,patient_075_node_0
32,normal_071,patient_049_node_3,normal_049
33,normal_137,test_058,normal_106
34,normal_070,patient_066_node_0,test_127
35,normal_101,patient_014_node_0,normal_026
36,normal_009,patient_045_node_2,patient_059_node_0
37,normal_004,patient_046_node_1,normal_073
38,normal_089,patient_044_node_1,test_128
39,normal_100,normal_133,normal_127
40,normal_102,patient_047_node_4,normal_019
41,normal_082,patient_006_node_3,patient_068_node_0
42,normal_076,patient_012_node_4,patient_098_node_0
43,normal_107,patient_006_node_1,patient_020_node_3
44,normal_134,patient_056_node_2,normal_104
45,normal_138,patient_043_node_4,patient_071_node_4
46,normal_036,test_063,patient_050_node_1
47,normal_032,normal_038,patient_008_node_3
48,normal_084,patient_085_node_3,normal_033
49,normal_088,patient_085_node_2,patient_090_node_1
50,normal_105,normal_058,patient_081_node_3
51,normal_141,normal_027,normal_158
52,normal_006,normal_030,normal_120
53,normal_002,patient_085_node_1,normal_068
54,normal_136,patient_015_node_0,normal_034
55,normal_012,patient_056_node_0,test_047
56,normal_144,tumor_100,tumor_028
57,normal_079,patient_051_node_1,test_105
58,normal_110,patient_051_node_0,tumor_048
59,normal_005,patient_024_node_4,patient_028_node_1
60,normal_130,patient_048_node_1,patient_096_node_0
61,normal_095,patient_089_node_3,tumor_098
62,normal_040,tumor_069,tumor_034
63,normal_020,patient_077_node_2,patient_016_node_0
64,normal_155,patient_080_node_2,patient_049_node_2
65,normal_061,tumor_066,tumor_054
66,normal_112,patient_028_node_0,patient_074_node_4
67,normal_151,patient_076_node_2,tumor_087
68,normal_080,test_122,patient_037_node_1
69,normal_051,test_110,patient_008_node_0
70,normal_072,patient_009_node_0,test_016
71,normal_124,tumor_020,patient_067_node_4
72,normal_057,patient_013_node_4,test_064
73,normal_115,patient_048_node_0,patient_017_node_2
74,normal_028,tumor_012,patient_006_node_4
75,normal_063,patient_020_node_1,patient_039_node_0
76,normal_046,tumor_035,patient_038_node_2
77,normal_091,patient_026_node_3,patient_080_node_0
78,normal_067,test_027,patient_092_node_1
79,normal_092,tumor_013,patient_099_node_4
80,normal_148,patient_029_node_2,patient_013_node_3
81,normal_160,patient_073_node_3,patient_047_node_2
82,normal_015,patient_024_node_1,test_029
83,normal_111,patient_029_node_3,patient_012_node_0
84,normal_023,patient_033_node_2,patient_045_node_0
85,normal_043,patient_080_node_4,tumor_008
86,normal_055,patient_066_node_2,patient_069_node_1
87,normal_053,patient_038_node_0,tumor_043
88,test_005,patient_087_node_0,patient_014_node_2
89,test_006,tumor_078,patient_014_node_3
90,test_007,,
91,test_009,,
92,test_012,,
93,test_014,,
94,test_015,,
95,test_018,,
96,test_019,,
97,test_020,,
98,test_022,,
99,test_023,,
100,test_024,,
101,test_025,,
102,normal_047,,
103,normal_059,,
104,test_031,,
105,test_032,,
106,test_034,,
107,test_035,,
108,test_036,,
109,test_037,,
110,test_039,,
111,normal_093,,
112,test_041,,
113,test_042,,
114,test_043,,
115,test_045,,
116,test_050,,
117,test_053,,
118,test_055,,
119,test_056,,
120,test_057,,
121,test_060,,
122,test_062,,
123,test_067,,
124,normal_146,,
125,test_072,,
126,test_076,,
127,test_077,,
128,test_078,,
129,test_080,,
130,normal_087,,
131,test_083,,
132,test_085,,
133,test_086,,
134,test_087,,
135,test_089,,
136,test_091,,
137,normal_098,,
138,test_093,,
139,test_095,,
140,test_096,,
141,test_098,,
142,test_100,,
143,test_101,,
144,test_103,,
145,test_106,,
146,test_109,,
147,test_111,,
148,normal_083,,
149,test_112,,
150,test_118,,
151,test_119,,
152,test_120,,
153,test_124,,
154,test_125,,
155,test_126,,
156,test_129,,
157,patient_000_node_0,,
158,normal_117,,
159,patient_000_node_1,,
160,patient_000_node_2,,
161,patient_000_node_3,,
162,patient_000_node_4,,
163,patient_001_node_0,,
164,patient_001_node_1,,
165,patient_001_node_2,,
166,patient_001_node_3,,
167,patient_001_node_4,,
168,normal_153,,
169,patient_002_node_0,,
170,patient_002_node_1,,
171,patient_002_node_2,,
172,patient_002_node_3,,
173,patient_002_node_4,,
174,patient_003_node_1,,
175,patient_003_node_2,,
176,patient_003_node_3,,
177,patient_003_node_4,,
178,patient_004_node_0,,
179,patient_004_node_1,,
180,patient_004_node_2,,
181,patient_004_node_3,,
182,patient_005_node_0,,
183,normal_069,,
184,patient_005_node_1,,
185,patient_005_node_2,,
186,patient_006_node_0,,
187,patient_007_node_0,,
188,patient_007_node_1,,
189,patient_007_node_2,,
190,patient_007_node_3,,
191,patient_008_node_1,,
192,patient_008_node_2,,
193,normal_074,,
194,patient_008_node_4,,
195,patient_009_node_2,,
196,patient_009_node_4,,
197,normal_041,,
198,patient_010_node_1,,
199,patient_010_node_2,,
200,patient_010_node_3,,
201,patient_011_node_1,,
202,patient_011_node_2,,
203,patient_011_node_3,,
204,patient_011_node_4,,
205,patient_012_node_1,,
206,patient_012_node_2,,
207,patient_013_node_0,,
208,patient_013_node_1,,
209,patient_014_node_1,,
210,patient_015_node_3,,
211,patient_016_node_2,,
212,patient_016_node_3,,
213,normal_123,,
214,normal_109,,
215,patient_017_node_0,,
216,patient_018_node_0,,
217,patient_019_node_4,,
218,patient_020_node_0,,
219,patient_021_node_2,,
220,normal_108,,
221,patient_022_node_2,,
222,patient_022_node_3,,
223,patient_023_node_0,,
224,patient_023_node_1,,
225,patient_023_node_2,,
226,normal_157,,
227,patient_023_node_3,,
228,patient_023_node_4,,
229,patient_024_node_0,,
230,patient_024_node_3,,
231,patient_025_node_0,,
232,patient_025_node_1,,
233,patient_025_node_2,,
234,patient_025_node_3,,
235,patient_025_node_4,,
236,patient_027_node_1,,
237,patient_027_node_3,,
238,normal_129,,
239,patient_028_node_4,,
240,normal_010,,
241,patient_030_node_1,,
242,patient_030_node_2,,
243,patient_031_node_1,,
244,patient_031_node_2,,
245,patient_031_node_3,,
246,patient_031_node_4,,
247,patient_032_node_0,,
248,patient_032_node_2,,
249,patient_032_node_3,,
250,patient_032_node_4,,
251,patient_033_node_0,,
252,patient_034_node_0,,
253,patient_034_node_1,,
254,patient_034_node_2,,
255,patient_034_node_4,,
256,patient_035_node_0,,
257,patient_035_node_2,,
258,patient_035_node_3,,
259,patient_035_node_4,,
260,patient_036_node_1,,
261,patient_036_node_4,,
262,patient_037_node_0,,
263,patient_037_node_3,,
264,patient_037_node_4,,
265,patient_038_node_1,,
266,patient_038_node_3,,
267,patient_039_node_2,,
268,patient_039_node_3,,
269,patient_039_node_4,,
270,patient_040_node_0,,
271,patient_040_node_1,,
272,patient_040_node_3,,
273,patient_040_node_4,,
274,patient_041_node_1,,
275,patient_041_node_2,,
276,patient_041_node_3,,
277,patient_041_node_4,,
278,patient_042_node_0,,
279,patient_042_node_1,,
280,patient_042_node_2,,
281,patient_042_node_4,,
282,patient_043_node_0,,
283,patient_043_node_1,,
284,patient_043_node_2,,
285,patient_043_node_3,,
286,patient_044_node_0,,
287,patient_044_node_2,,
288,patient_046_node_0,,
289,patient_046_node_2,,
290,patient_047_node_0,,
291,patient_047_node_1,,
292,patient_047_node_3,,
293,patient_048_node_2,,
294,normal_024,,
295,patient_048_node_3,,
296,patient_048_node_4,,
297,patient_049_node_4,,
298,patient_050_node_0,,
299,normal_154,,
300,patient_050_node_2,,
301,patient_050_node_3,,
302,patient_051_node_3,,
303,normal_007,,
304,patient_052_node_4,,
305,patient_053_node_0,,
306,patient_053_node_1,,
307,patient_053_node_2,,
308,normal_008,,
309,patient_053_node_4,,
310,patient_054_node_0,,
311,patient_054_node_2,,
312,patient_054_node_3,,
313,patient_054_node_4,,
314,patient_055_node_0,,
315,patient_055_node_1,,
316,patient_055_node_2,,
317,patient_055_node_3,,
318,patient_055_node_4,,
319,patient_056_node_1,,
320,patient_056_node_3,,
321,patient_056_node_4,,
322,normal_114,,
323,patient_057_node_0,,
324,patient_057_node_2,,
325,patient_057_node_3,,
326,patient_057_node_4,,
327,patient_058_node_0,,
328,patient_058_node_1,,
329,patient_058_node_2,,
330,patient_058_node_4,,
331,patient_059_node_1,,
332,patient_059_node_2,,
333,patient_059_node_3,,
334,patient_059_node_4,,
335,normal_090,,
336,patient_060_node_1,,
337,patient_060_node_2,,
338,patient_060_node_4,,
339,patient_061_node_0,,
340,patient_061_node_1,,
341,patient_061_node_2,,
342,patient_061_node_3,,
343,normal_050,,
344,patient_062_node_4,,
345,patient_063_node_1,,
346,normal_017,,
