,train,val,test
0,normal_037,patient_005_node_0,normal_029
1,normal_030,normal_083,patient_090_node_0
2,normal_021,patient_075_node_0,patient_048_node_3
3,normal_018,normal_131,normal_114
4,normal_064,patient_061_node_1,patient_076_node_0
5,normal_066,patient_001_node_3,normal_010
6,normal_139,test_101,patient_025_node_1
7,normal_052,patient_053_node_2,patient_067_node_0
8,normal_062,normal_079,patient_095_node_4
9,normal_031,patient_099_node_2,patient_002_node_1
10,normal_097,patient_093_node_1,normal_135
11,normal_034,patient_004_node_3,patient_055_node_2
12,normal_085,patient_067_node_1,normal_033
13,normal_073,test_100,normal_081
14,normal_026,patient_037_node_0,patient_060_node_1
15,normal_056,patient_001_node_0,normal_001
16,normal_013,patient_038_node_1,patient_047_node_0
17,normal_075,patient_024_node_3,test_120
18,normal_152,patient_002_node_2,normal_124
19,normal_122,patient_089_node_4,normal_119
20,normal_022,test_015,patient_011_node_4
21,normal_128,normal_023,normal_112
22,normal_121,test_018,patient_092_node_2
23,normal_125,patient_089_node_1,normal_047
24,normal_011,normal_080,normal_025
25,normal_044,normal_048,patient_098_node_1
26,normal_060,patient_082_node_2,test_019
27,normal_094,normal_058,patient_064_node_2
28,normal_045,patient_057_node_0,patient_057_node_1
29,normal_142,normal_145,patient_049_node_4
30,normal_042,patient_053_node_3,normal_038
31,normal_071,patient_078_node_4,patient_062_node_4
32,normal_070,patient_087_node_4,patient_011_node_2
33,normal_101,normal_132,normal_141
34,normal_009,normal_146,patient_002_node_3
35,normal_004,normal_020,normal_072
36,normal_089,patient_016_node_3,patient_035_node_3
37,normal_106,normal_032,patient_081_node_3
38,normal_100,patient_073_node_4,patient_034_node_2
39,normal_104,normal_014,patient_003_node_1
40,normal_102,normal_002,normal_147
41,normal_082,test_025,patient_017_node_0
42,normal_076,patient_086_node_1,patient_074_node_0
43,normal_068,patient_023_node_3,test_124
44,normal_107,patient_078_node_2,patient_055_node_3
45,normal_134,patient_088_node_0,patient_035_node_4
46,normal_138,patient_073_node_2,test_006
47,normal_019,patient_012_node_2,patient_003_node_4
48,normal_036,normal_126,normal_137
49,normal_159,patient_065_node_1,normal_151
50,normal_077,normal_116,patient_032_node_2
51,normal_084,normal_099,patient_090_node_4
52,normal_088,patient_005_node_1,patient_040_node_0
53,normal_105,patient_056_node_4,patient_085_node_3
54,normal_006,normal_113,patient_055_node_4
55,normal_143,patient_012_node_1,patient_001_node_1
56,normal_158,tumor_088,patient_062_node_0
57,normal_136,patient_094_node_0,tumor_064
58,normal_065,patient_009_node_1,patient_076_node_2
59,normal_012,patient_052_node_1,test_001
60,normal_144,patient_084_node_3,patient_029_node_3
61,normal_110,patient_062_node_1,tumor_044
62,normal_005,test_110,tumor_049
63,normal_130,test_074,tumor_019
64,normal_095,patient_030_node_4,tumor_024
65,normal_040,test_108,tumor_004
66,normal_155,patient_095_node_0,patient_033_node_1
67,normal_061,patient_042_node_3,patient_006_node_2
68,normal_127,patient_029_node_0,patient_008_node_0
69,normal_049,patient_027_node_2,tumor_099
70,normal_051,patient_099_node_4,tumor_078
71,normal_057,patient_092_node_1,tumor_057
72,normal_115,test_069,test_002
73,normal_027,tumor_080,patient_094_node_2
74,normal_028,patient_019_node_0,patient_028_node_0
75,normal_063,tumor_102,patient_021_node_3
76,normal_046,patient_026_node_0,patient_074_node_4
77,normal_091,tumor_014,test_116
78,normal_103,patient_016_node_1,tumor_069
79,normal_150,patient_062_node_2,tumor_003
80,normal_067,test_079,tumor_063
81,normal_092,tumor_051,patient_060_node_0
82,normal_148,patient_063_node_2,patient_080_node_2
83,normal_160,test_026,tumor_056
84,normal_015,patient_033_node_3,test_114
85,normal_111,patient_020_node_1,tumor_036
86,normal_043,patient_024_node_1,tumor_035
87,normal_055,test_094,tumor_058
88,normal_053,patient_076_node_1,tumor_079
89,test_003,patient_010_node_0,patient_011_node_0
90,test_005,,
91,test_007,,
92,test_009,,
93,test_012,,
94,test_014,,
95,test_017,,
96,test_020,,
97,test_022,,
98,test_023,,
99,test_024,,
100,test_028,,
101,normal_059,,
102,test_031,,
103,test_032,,
104,test_034,,
105,test_035,,
106,test_036,,
107,test_037,,
108,test_039,,
109,normal_093,,
110,test_041,,
111,test_042,,
112,test_043,,
113,test_044,,
114,test_045,,
115,test_047,,
116,test_050,,
117,test_053,,
118,test_054,,
119,test_055,,
120,test_056,,
121,test_057,,
122,test_058,,
123,test_059,,
124,test_060,,
125,test_062,,
126,test_063,,
127,test_067,,
128,test_070,,
129,test_072,,
130,test_076,,
131,test_077,,
132,test_078,,
133,test_080,,
134,test_081,,
135,normal_087,,
136,test_083,,
137,test_085,,
138,test_086,,
139,test_087,,
140,test_088,,
141,test_089,,
142,test_091,,
143,normal_098,,
144,test_093,,
145,test_095,,
146,test_096,,
147,test_098,,
148,normal_120,,
149,test_103,,
150,test_106,,
151,test_107,,
152,test_109,,
153,test_111,,
154,test_112,,
155,test_115,,
156,test_118,,
157,test_119,,
158,test_123,,
159,test_125,,
160,test_126,,
161,test_127,,
162,test_128,,
163,test_129,,
164,test_130,,
165,patient_000_node_0,,
166,normal_054,,
167,normal_117,,
168,patient_000_node_1,,
169,patient_000_node_2,,
170,patient_000_node_3,,
171,patient_000_node_4,,
172,patient_001_node_2,,
173,patient_001_node_4,,
174,normal_153,,
175,patient_002_node_0,,
176,patient_002_node_4,,
177,patient_003_node_0,,
178,patient_003_node_2,,
179,patient_003_node_3,,
180,patient_004_node_0,,
181,patient_004_node_1,,
182,patient_004_node_2,,
183,normal_069,,
184,patient_005_node_2,,
185,patient_006_node_0,,
186,patient_006_node_1,,
187,patient_006_node_3,,
188,patient_007_node_0,,
189,patient_007_node_1,,
190,patient_007_node_2,,
191,patient_007_node_3,,
192,patient_008_node_1,,
193,patient_008_node_2,,
194,normal_074,,
195,patient_008_node_3,,
196,patient_008_node_4,,
197,patient_009_node_2,,
198,patient_009_node_3,,
199,patient_009_node_4,,
200,normal_041,,
201,patient_010_node_1,,
202,patient_010_node_2,,
203,patient_010_node_3,,
204,patient_011_node_1,,
205,patient_011_node_3,,
206,patient_012_node_3,,
207,patient_012_node_4,,
208,patient_013_node_0,,
209,patient_013_node_1,,
210,patient_014_node_0,,
211,patient_014_node_1,,
212,patient_015_node_0,,
213,patient_015_node_3,,
214,patient_016_node_2,,
215,patient_016_node_4,,
216,normal_123,,
217,normal_109,,
218,patient_018_node_0,,
219,patient_019_node_4,,
220,patient_020_node_0,,
221,patient_020_node_3,,
222,patient_021_node_2,,
223,normal_108,,
224,patient_022_node_2,,
225,patient_022_node_3,,
226,patient_023_node_0,,
227,patient_023_node_1,,
228,patient_023_node_2,,
229,normal_157,,
230,patient_023_node_4,,
231,patient_024_node_0,,
232,patient_025_node_0,,
233,patient_025_node_2,,
234,patient_025_node_3,,
235,patient_025_node_4,,
236,patient_027_node_1,,
237,patient_027_node_3,,
238,normal_129,,
239,patient_028_node_4,,
240,patient_029_node_4,,
241,patient_030_node_0,,
242,patient_030_node_1,,
243,patient_030_node_2,,
244,patient_030_node_3,,
245,patient_031_node_0,,
246,patient_031_node_1,,
247,patient_031_node_2,,
248,patient_031_node_3,,
249,patient_031_node_4,,
250,patient_032_node_0,,
251,patient_032_node_3,,
252,patient_032_node_4,,
253,patient_033_node_0,,
254,patient_033_node_4,,
255,patient_034_node_0,,
256,patient_034_node_1,,
257,patient_034_node_4,,
258,patient_035_node_0,,
259,normal_003,,
260,patient_035_node_1,,
261,patient_035_node_2,,
262,patient_036_node_0,,
263,patient_036_node_1,,
264,patient_036_node_2,,
265,patient_036_node_4,,
266,patient_037_node_2,,
267,patient_037_node_3,,
268,patient_037_node_4,,
269,patient_038_node_3,,
270,patient_039_node_2,,
271,patient_039_node_3,,
272,patient_039_node_4,,
273,patient_040_node_1,,
274,patient_040_node_3,,
275,patient_040_node_4,,
276,patient_041_node_1,,
277,patient_041_node_2,,
278,patient_041_node_3,,
279,patient_041_node_4,,
280,patient_042_node_0,,
281,patient_042_node_1,,
282,patient_042_node_2,,
283,patient_042_node_4,,
284,patient_043_node_0,,
285,patient_043_node_1,,
286,patient_043_node_2,,
287,patient_043_node_3,,
288,patient_043_node_4,,
289,patient_044_node_0,,
290,patient_044_node_1,,
291,patient_044_node_2,,
292,patient_045_node_2,,
293,patient_046_node_0,,
294,patient_046_node_1,,
295,patient_046_node_2,,
296,patient_047_node_1,,
297,patient_047_node_3,,
298,patient_047_node_4,,
299,patient_048_node_2,,
300,normal_024,,
301,patient_048_node_4,,
302,patient_049_node_0,,
303,patient_049_node_3,,
304,patient_050_node_0,,
305,normal_154,,
306,patient_050_node_1,,
307,patient_050_node_2,,
308,patient_050_node_3,,
309,patient_051_node_3,,
310,normal_007,,
311,patient_052_node_4,,
312,patient_053_node_0,,
313,patient_053_node_1,,
314,normal_008,,
315,patient_053_node_4,,
316,patient_054_node_0,,
317,patient_054_node_1,,
318,patient_054_node_2,,
319,patient_054_node_3,,
320,patient_054_node_4,,
321,patient_055_node_0,,
322,patient_055_node_1,,
323,patient_056_node_0,,
324,patient_056_node_1,,
325,patient_056_node_2,,
326,patient_056_node_3,,
327,patient_057_node_2,,
328,patient_057_node_3,,
329,patient_057_node_4,,
330,patient_058_node_0,,
331,patient_058_node_1,,
332,patient_058_node_2,,
333,patient_058_node_3,,
334,patient_058_node_4,,
335,patient_059_node_0,,
336,patient_059_node_1,,
337,patient_059_node_2,,
338,patient_059_node_3,,
339,patient_059_node_4,,
340,normal_090,,
341,patient_060_node_2,,
342,patient_060_node_4,,
343,patient_061_node_0,,
344,patient_061_node_2,,
345,patient_061_node_3,,
346,normal_050,,
347,patient_063_node_1,,
348,normal_017,,
349,patient_064_node_1,,
350,patient_064_node_4,,
351,normal_156,,
352,patient_065_node_2,,
353,patient_065_node_3,,
354,patient_066_node_0,,
355,patient_066_node_1,,
356,patient_066_node_4,,
357,patient_067_node_2,,
358,patient_068_node_0,,
359,patient_068_node_2,,
360,patient_068_node_3,,
361,patient_069_node_4,,
362,patient_070_node_0,,
363,normal_133,,
364,patient_070_node_1,,
365,patient_070_node_2,,
366,patient_070_node_4,,
367,patient_071_node_0,,
368,patient_071_node_1,,
369,patient_071_node_2,,
370,patient_071_node_3,,
371,patient_071_node_4,,
372,patient_072_node_3,,
373,patient_073_node_0,,
374,normal_016,,
375,patient_074_node_1,,
376,patient_074_node_2,,
377,patient_074_node_3,,
378,normal_149,,
379,patient_075_node_1,,
380,patient_075_node_2,,
381,patient_075_node_3,,
382,patient_077_node_0,,
