,train,val,test
0,normal_037,normal_091,normal_012
1,normal_030,normal_033,patient_036_node_2
2,normal_021,test_072,patient_054_node_4
3,normal_018,patient_000_node_1,test_022
4,normal_064,patient_087_node_4,patient_098_node_1
5,normal_135,patient_008_node_1,patient_079_node_0
6,normal_048,normal_072,patient_011_node_2
7,normal_029,normal_009,patient_082_node_2
8,normal_066,patient_007_node_3,test_023
9,normal_139,patient_000_node_2,patient_058_node_4
10,normal_031,normal_023,patient_052_node_4
11,normal_014,test_005,patient_009_node_4
12,normal_097,patient_067_node_2,patient_001_node_1
13,normal_034,patient_006_node_0,patient_085_node_3
14,normal_119,patient_020_node_3,normal_106
15,normal_085,patient_018_node_0,patient_034_node_1
16,normal_073,patient_090_node_1,patient_053_node_1
17,normal_026,patient_086_node_2,patient_054_node_3
18,normal_056,test_032,patient_051_node_3
19,normal_013,test_067,patient_073_node_0
20,normal_075,test_018,test_057
21,normal_122,patient_041_node_1,patient_040_node_3
22,normal_001,patient_003_node_0,test_085
23,normal_022,test_109,patient_005_node_1
24,normal_128,patient_049_node_3,patient_059_node_3
25,normal_121,patient_056_node_0,patient_062_node_4
26,normal_125,test_062,patient_030_node_0
27,normal_011,patient_014_node_0,patient_064_node_1
28,normal_044,patient_085_node_4,normal_159
29,normal_060,patient_032_node_2,patient_074_node_1
30,normal_094,normal_157,patient_023_node_1
31,normal_045,test_093,test_088
32,normal_116,patient_068_node_0,normal_137
33,normal_142,patient_079_node_1,patient_023_node_2
34,normal_042,patient_002_node_0,patient_061_node_0
35,normal_071,test_101,normal_158
36,normal_145,patient_016_node_4,patient_083_node_4
37,normal_070,patient_043_node_4,normal_147
38,normal_101,test_106,normal_049
39,normal_004,test_056,normal_152
40,normal_089,patient_057_node_0,normal_058
41,normal_100,normal_052,test_050
42,normal_104,patient_050_node_2,patient_040_node_0
43,normal_102,patient_040_node_4,test_100
44,normal_082,patient_006_node_1,test_091
45,normal_107,patient_047_node_1,normal_017
46,normal_134,patient_066_node_4,normal_019
47,normal_138,test_086,test_126
48,normal_036,normal_062,patient_031_node_1
49,normal_077,patient_059_node_4,test_012
50,normal_032,normal_068,patient_012_node_1
51,normal_084,patient_055_node_3,patient_057_node_2
52,normal_088,normal_003,normal_126
53,normal_105,patient_089_node_0,test_047
54,normal_141,normal_008,normal_043
55,normal_006,patient_038_node_1,normal_076
56,normal_143,tumor_063,patient_051_node_1
57,normal_002,patient_092_node_3,patient_026_node_2
58,normal_136,tumor_058,test_082
59,normal_065,patient_036_node_3,patient_052_node_2
60,normal_144,test_084,patient_018_node_2
61,normal_079,tumor_044,patient_030_node_4
62,normal_110,patient_051_node_4,patient_004_node_4
63,normal_005,tumor_067,test_029
64,normal_130,tumor_085,tumor_090
65,normal_095,patient_017_node_4,tumor_061
66,normal_040,patient_013_node_2,tumor_047
67,normal_020,test_117,patient_026_node_1
68,normal_155,test_069,tumor_037
69,normal_061,tumor_076,tumor_056
70,normal_112,patient_086_node_4,test_016
71,normal_151,test_010,patient_062_node_0
72,normal_127,tumor_109,patient_029_node_1
73,normal_025,tumor_040,patient_088_node_1
74,normal_080,tumor_094,tumor_041
75,normal_051,tumor_075,tumor_045
76,normal_113,test_122,patient_099_node_4
77,normal_124,patient_045_node_3,patient_039_node_0
78,normal_057,tumor_054,tumor_024
79,normal_115,patient_080_node_4,patient_094_node_0
80,normal_027,tumor_053,tumor_066
81,normal_028,tumor_084,test_052
82,normal_063,patient_063_node_3,patient_009_node_1
83,normal_046,patient_022_node_1,patient_080_node_2
84,normal_103,tumor_079,patient_041_node_0
85,normal_150,tumor_003,test_108
86,normal_067,test_121,patient_069_node_1
87,normal_092,patient_063_node_2,tumor_091
88,normal_148,patient_052_node_0,tumor_031
89,normal_160,test_079,tumor_104
90,normal_015,,
91,normal_111,,
92,normal_099,,
93,normal_055,,
94,normal_053,,
95,test_003,,
96,test_006,,
97,test_007,,
98,test_009,,
99,test_014,,
100,test_015,,
101,test_017,,
102,test_019,,
103,test_020,,
104,test_024,,
105,test_025,,
106,test_028,,
107,normal_047,,
108,normal_059,,
109,test_031,,
110,test_034,,
111,test_035,,
112,test_036,,
113,test_037,,
114,test_039,,
115,normal_093,,
116,test_041,,
117,test_042,,
118,test_043,,
119,test_044,,
120,test_045,,
121,normal_038,,
122,test_053,,
123,test_054,,
124,test_055,,
125,test_058,,
126,test_059,,
127,test_060,,
128,test_063,,
129,test_070,,
130,normal_146,,
131,test_076,,
132,test_077,,
133,test_078,,
134,test_080,,
135,test_081,,
136,normal_087,,
137,test_083,,
138,test_087,,
139,test_089,,
140,normal_098,,
141,test_095,,
142,test_096,,
143,test_098,,
144,normal_120,,
145,test_103,,
146,test_107,,
147,test_111,,
148,normal_083,,
149,test_112,,
150,test_115,,
151,test_118,,
152,test_119,,
153,test_120,,
154,test_123,,
155,test_124,,
156,test_125,,
157,test_127,,
158,test_128,,
159,test_129,,
160,test_130,,
161,patient_000_node_0,,
162,normal_054,,
163,normal_117,,
164,patient_000_node_3,,
165,patient_000_node_4,,
166,patient_001_node_0,,
167,patient_001_node_2,,
168,patient_001_node_3,,
169,patient_001_node_4,,
170,normal_153,,
171,patient_002_node_1,,
172,patient_002_node_2,,
173,patient_002_node_3,,
174,patient_002_node_4,,
175,patient_003_node_1,,
176,patient_003_node_2,,
177,patient_003_node_3,,
178,patient_003_node_4,,
179,patient_004_node_0,,
180,patient_004_node_1,,
181,patient_004_node_2,,
182,patient_004_node_3,,
183,patient_005_node_0,,
184,normal_069,,
185,patient_005_node_2,,
186,patient_006_node_3,,
187,patient_007_node_0,,
188,patient_007_node_1,,
189,patient_007_node_2,,
190,patient_008_node_2,,
191,normal_074,,
192,patient_008_node_3,,
193,patient_008_node_4,,
194,patient_009_node_2,,
195,patient_009_node_3,,
196,normal_041,,
197,patient_010_node_1,,
198,patient_010_node_2,,
199,patient_010_node_3,,
200,patient_011_node_1,,
201,patient_011_node_3,,
202,patient_011_node_4,,
203,patient_012_node_2,,
204,patient_012_node_3,,
205,patient_012_node_4,,
206,patient_013_node_0,,
